,Player,Contract Years Left
2061,Soumaïla Coulibaly,3
2062,Raphaël Guerreiro,2
2063,Nico Schulz,3
2064,Marcel Schmelzer,1
2065,Thomas Meunier,3
2066,Mateu Morey Bauzà,3
2067,Felix Passlack,2
2068,Emre Can,3
2069,Thomas Delaney,1
2070,Axel Witsel,1
2071,Abdoulaye Kamara,fail
2072,Antonios Papadopoulos,2
2073,Jude Bellingham,4
2074,Mahmoud Dahoud,2
2075,Tobias Raschl,1
2076,Göktan Gürpüz,1
2077,Giovanni Reyna,4
2078,Julian Brandt,3
2079,Reinier,1
2080,Marco Reus,2
2081,Thorgan Hazard,3
2082,Marius Wolf,2
2083,Ansgar Knauff,2
2084,Erling Haaland,3
2085,Donyell Malen,5
2086,Youssoufa Moukoko,2
2087,Steffen Tigges,3
2088,Marwin Hitz,2
2089,Antonios Papadopoulos,2
2090,Ansgar Knauff,2
2091,Donyell Malen,5
2092,Steffen Tigges,3
2093,Péter Gulácsi,4
2094,Josep Martínez,3
2095,Philipp Tschauner,1
2096,Josko Gvardiol,5
2097,Mohamed Simakan,5
2098,Willi Orban,4
2099,Angeliño,4
2100,Marcel Halstenberg,1
2101,Marcelo Saracchi,2
2102,Lukas Klostermann,3
2103,Nordi Mukiele,2
2104,Benjamin Henrichs,4
2105,Tyler Adams,4
2106,Marcel Sabitzer,1
2107,Konrad Laimer,2
2108,Amadou Haidara,4
2109,Kevin Kampl,2
2110,Sidney Raebiger,3
2111,Ben Klefisch,3
2112,Dani Olmo,3
2113,Christopher Nkunku,3
2114,Joscha Wosz,3
2115,Dominik Szoboszlai,5
2116,Emil Forsberg,4
2117,Ademola Lookman,3
2118,André Silva,5
2119,Yussuf Poulsen,3
2120,Alexander Sörloth,4
2121,Hee-chan Hwang,4
2122,Brian Brobbey,4
2123,Hugo Novoa,1
2124,Josep Martínez,3
2125,Lukas Klostermann,3
2126,Sidney Raebiger,3
2127,Dominik Szoboszlai,5
2128,Hee-chan Hwang,4
2129,Lukas Hradecky,2
2130,Andrey Lunev,2
2131,Lennart Grill,3
2132,Niklas Lomb,1
2133,Edmond Tapsoba,5
2134,Jonathan Tah,2
2135,Odilon Kossounou,5
2136,Panagiotis Retsos,1
2137,Mitchel Bakker,4
2138,Daley Sinkgraven,2
2139,Wendell,1
2140,Jeremie Frimpong,4
2141,Timothy Fosu-Mensah,3
2142,Mitchell Weiser,2
2143,Joshua Eze,0
2144,Julian Baumgartlinger,1
2145,Kerem Demirbay,3
2146,Exequiel Palacios,4
2147,Charles Aránguiz,2
2148,Zidan Sertdemir,3
2149,Florian Wirtz,5
2150,Nadiem Amiri,3
2151,Moussa Diaby,4
2152,Paulinho,2
2153,Karim Bellarabi,2
2154,Patrik Schick,4
2155,Lucas Alario,3
2156,Joel Pohjanpalo,1
2157,Emrehan Gedikli,1
2158,Niklas Lomb,1
2159,Panagiotis Retsos,1
2160,Wendell,1
2161,Julian Baumgartlinger,1
2162,Joel Pohjanpalo,1
2163,Yann Sommer,2
2164,Tobias Sippel,2
2165,Jan Olschowsky,2
2166,Matthias Ginter,1
2167,Nico Elvedi,3
2168,Jordan Beyer,1
2169,Tony Jantschke,2
2170,Mamadou Doucouré,3
2171,Ramy Bensebaini,2
2172,Luca Netz,5
2173,Andreas Poulsen,2
2174,Stefan Lainer,3
2175,Joe Scally,fail
2176,Denis Zakaria,1
2177,Christoph Kramer,2
2178,Florian Neuhaus,3
2179,Manu Koné,4
2180,Lászlo Bénes,3
2181,Keanan Bennetts,1
2182,Hannes Wolf,fail
2183,Torben Müsel,fail
2184,Famana Quizera,fail
2185,Marcus Thuram,2
2186,Jonas Hofmann,2
2187,Patrick Herrmann,1
2188,Lars Stindl,2
2189,Alassane Plea,2
2190,Breel Embolo,2
2191,Tobias Sippel,2
2192,Tony Jantschke,2
2193,Lászlo Bénes,3
2194,Marcus Thuram,2
2195,Conor Noß,3
2196,Alexander Schwolow,4
2197,Rune Jarstein,2
2198,Nils-Jonathan Körber,1
2199,Niklas Stark,1
2200,Jordan Torunarigha,2
2201,Dedryck Boyata,3
2202,Márton Dárdai,4
2203,Maximilian Mittelstädt,2
2204,Marvin Plattenhardt,2
2205,Deyovaisio Zeefuik,fail
2206,Lukas Klünter,1
2207,Peter Pekarik,1
2208,Lucas Tousart,4
2209,Santiago Ascacíbar,3
2210,Suat Serdar,5
2211,Vladimir Darida,2
2212,Kevin-Prince Boateng,1
2213,Jonas Michelbrink,1
2214,Javairô Dilrosun,3
2215,Dennis Jastrzembski,1
2216,Dodi Lukébakio,3
2217,Marco Richter,4
2218,Matheus Cunha,4
2219,Krzysztof Piatek,4
2220,Stevan Jovetic,2
2221,Davie Selke,2
2222,Daishawn Redan,3
2223,Ruwen Werthmüller,fail
2224,Nils-Jonathan Körber,1
2225,Maximilian Mittelstädt,2
2226,Deyovaisio Zeefuik,fail
2227,Javairô Dilrosun,3
2228,Marco Richter,4
2229,Oliver Baumann,2
2230,Philipp Pentke,1
2231,Nahuel Noll,4
2232,Luca Philipp,2
2233,Stefan Posch,3
2234,Kevin Akpoguma,3
2235,Kevin Vogt,1
2236,Melayro Bogarde,3
2237,Kasim Adams,2
2238,Ermin Bicakcic,1
2239,Havard Nordtveit,1
2240,Benjamin Hübner,1
2241,David Raum,4
2242,Pavel Kaderabek,2
2243,Joshua Brenet,1
2244,Florian Grillitsch,1
2245,Diadié Samassékou,3
2246,Sebastian Rudy,2
2247,Angelo Stiller,4
2248,Dennis Geiger,1
2249,Tom Bischof,1
2250,Marco John,3
2251,Christoph Baumgartner,4
2252,Mijat Gacinovic,3
2253,Jacob Bruun Larsen,3
2254,Ihlas Bebou,2
2255,Robert Skov,3
2256,Andrej Kramaric,1
2257,Munas Dabbur,3
2258,Sargis Adamyan,2
2259,Georginio Rutter,4
2260,Ishak Belfodil,1
2261,Maximilian Beier,3
2262,Philipp Pentke,1
2263,Fabian Rüth,1
2264,Marco John,3
2265,Sargis Adamyan,2
2266,Ralf Fährmann,4
2267,Martin Fraisl,1
2268,Michael Langer,1
2269,Ozan Kabak,3
2270,Matija Nastasic,1
2271,Malick Thiaw,3
2272,Salif Sané,1
2273,Timo Becker,2
2274,Marcin Kaminski,2
2275,Thomas Ouwejan,1
2276,Omar Mascarell,1
2277,Victor Pálsson,2
2278,Dries Wouters,3
2279,Florian Flick,2
2280,Rodrigo Zalazar,1
2281,Can Bozdogan,3
2282,Danny Latza,2
2283,Reinhold Ranftl,3
2284,Mehmet Aydin,1
2285,Kerim Calhanoglu,3
2286,Amine Harit,3
2287,Dominick Drexler,2
2288,Levent Mercan,2
2289,Blendi Idrizi,2
2290,Yaroslav Mikhailov,1
2291,Marius Bülter,3
2292,Matthew Hoppe,2
2293,Simon Terodde,1
2294,Marvin Pieringer,1
2295,Bleron Krasniqi,1
2296,Martin Fraisl,1
2297,Florian Flick,2
2298,Can Bozdogan,3
2299,Kerim Calhanoglu,3
2300,Marvin Pieringer,1
2301,Kevin Trapp,3
2302,Diant Ramaj,3
2303,Jens Grahl,3
2304,Evan N'Dicka,2
2305,Martin Hinteregger,3
2306,Tuta,2
2307,Felix Irorere,fail
2308,Christopher Lenz,3
2309,Danny da Costa,1
2310,Almamy Touré,2
2311,Erik Durm,2
2312,Timothy Chandler,4
2313,Stefan Ilsanker,1
2314,Makoto Hasebe,1
2315,Djibril Sow,3
2316,Sebastian Rode,3
2317,Filip Kostic,2
2318,Steven Zuber,2
2319,Daichi Kamada,2
2320,Amin Younes,1
2321,Jesper Lindström,5
2322,Aymen Barkok,1
2323,Ajdin Hrustic,2
2324,Jens Petter Hauge,1
2325,Martin Pecar,2
2326,Fabio Blanco,2
2327,Rafael Borré,4
2328,Gonçalo Paciência,2
2329,Ragnar Ache,4
2330,Enrique Herrero García,4
2331,Diant Ramaj,3
2332,Christopher Lenz,3
2333,Ajdin Hrustic,2
2334,Amin Younes,1
2335,Ragnar Ache,4
2336,Koen Casteels,3
2337,Pavao Pervan,1
2338,Philipp Schulze,2
2339,Niklas Klinger,2
2340,Maxence Lacroix,3
2341,John Anthony Brooks,1
2342,Sebastiaan Bornauw,5
2343,Marin Pongracic,3
2344,Anselmo García McNulty,3
2345,Jannis Lang,2
2346,Marcel Beifus,fail
2347,Paulo Otávio,2
2348,Jérôme Roussillon,2
2349,Kobe Hernández-Foster,1
2350,Ridle Baku,4
2351,Kevin Mbabu,2
2352,William,1
2353,Josuha Guilavogui,2
2354,Xaver Schlager,2
2355,Maximilian Arnold,5
2356,Yannick Gerhardt,4
2357,Aster Vranckx,4
2358,Dominik Marx,2
2359,Felix Nmecha,3
2360,Marvin Stefaniak,1
2361,Josip Brekalo,2
2362,João Victor,2
2363,Renato Steffen,2
2364,Maximilian Philipp,4
2365,Admir Mehmedi,1
2366,Wout Weghorst,2
2367,Lukas Nmecha,4
2368,Bartosz Bialek,3
2369,Omar Marmoush,2
2370,Daniel Ginczek,1
2371,Fally Mayulu,1
2372,Pavao Pervan,1
2373,Marin Pongracic,3
2374,Yannick Gerhardt,4
2375,Admir Mehmedi,1
2376,Ui-jo Hwang,2
2377,Robin Zentner,2
2378,Finn Dahmen,2
2379,Omer Hanin,2
2380,Lasse Rieß,fail
2381,Marius Liesegang,1
2382,Jeremiah St. Juste,2
2383,Moussa Niakhaté,2
2384,David Nemeth,3
2385,Stefan Bell,2
2386,Alexander Hack,3
2387,Luca Kilian,3
2388,Aarón Martín,2
2389,Anderson Lucoqui,3
2390,Silvan Widmer,3
2391,Daniel Brosinski,1
2392,Anton Stach,3
2393,Niklas Tauer,2
2394,Leandro Barreiro,3
2395,Dominik Kohr,1
2396,Edimilson Fernandes,2
2397,Merveille Papela,2
2398,Jean-Paul Boëtius,1
2399,Jae-sung Lee,3
2400,Kevin Stöger,1
2401,Paul Nebel,3
2402,Jonathan Burkardt,3
2403,Karim Onisiwo,3
2404,Ádám Szalai,1
2405,Finn Dahmen,2
2406,Stephan Fürstner,1
2407,Romario Rösch,1
2408,Kaito Mizuta,2
2409,Jiri Pavlenka,1
2410,Michael Zetterer,1
2411,Luca Plogmann,1
2412,Eduardo dos Santos Haesler,1
2413,Marco Friedl,2
2414,Milos Veljkovic,1
2415,Ömer Toprak,2
2416,Lars Lukas Mai,1
2417,Anthony Jung,2
2418,Felix Agu,3
2419,Kyu-hyun Park,3
2420,Simon Straudi,1
2421,Nicolai Rapp,3
2422,Christian Groß,1
2423,Ilia Gruev,2
2424,Thore Jacobsen,1
2425,Maximilian Eggestein,2
2426,Kevin Möhwald,1
2427,Jean Manuel Mbom,2
2428,Leonardo Bittencourt,3
2429,Romano Schmid,2
2430,Niklas Schmidt,1
2431,Oscar Schönfelder,2
2432,Nick Woltemade,2
2433,Niclas Füllkrug,2
2434,Eren Dinkci,1
2435,Abdenego Nankishi,1
2436,Eduardo dos Santos Haesler,1
2437,Milos Veljkovic,1
2438,Christian Groß,1
2439,Oscar Schönfelder,2
2440,Abdenego Nankishi,1
2441,Timo Horn,2
2442,Marvin Schwäbe,3
2443,Jonas Urbig,3
2444,Jorge Meré,2
2445,Timo Hübers,2
2446,Sava-Arangel Cestic,3
2447,Rafael Czichos,1
2448,João Queirós,1
2449,Noah Katterbach,3
2450,Jannes Horn,1
2451,Kingsley Ehizibue,2
2452,Benno Schmitz,1
2453,Ellyes Skhiri,2
2454,Jonas Hector,2
2455,Dejan Ljubicic,4
2456,Salih Özcan,2
2457,Niklas Hauptmann,2
2458,Vincent Koziello,1
2459,Ondrej Duda,3
2460,Louis Schaub,1
2461,Tomas Ostrak,1
2462,Jens Castrop,2
2463,Florian Kainz,1
2464,Marvin Obuz,3
2465,Jan Thielmann,3
2466,Kingsley Schindler,2
2467,Tim Lemperle,2
2468,Mark Uth,2
2469,Sebastian Andersson,2
2470,Anthony Modeste,2
2471,Marvin Schwäbe,3
2472,Kingsley Ehizibue,2
2473,Ondrej Duda,3
2474,Louis Schaub,1
2475,Sebastian Andersson,2
2476,Rafal Gikiewicz,2
2477,Tomas Koubek,3
2478,Daniel Klein,4
2479,Felix Uduokhai,3
2480,Jeffrey Gouweleeuw,3
2481,Reece Oxford,2
2482,Frederik Winther,4
2483,Iago,3
2484,Mads Pedersen,3
2485,Robert Gumny,4
2486,Raphael Framberger,3
2487,Niklas Dorsch,5
2488,Carlos Gruezo,3
2489,Tobias Strobl,2
2490,Arne Maier,1
2491,Jan Morávek,1
2492,Tim Civeja,1
2493,Maurice Malone,3
2494,Fredrik Jensen,2
2495,Rubén Vargas,4
2496,André Hahn,1
2497,Daniel Caligiuri,2
2498,Noah Joel Sarenren Bazee,3
2499,Lasse Günther,4
2500,Michael Gregoritsch,2
2501,Florian Niederlechner,1
2502,Sergio Córdova,4
2503,Alfred Finnbogason,1
2504,Tomas Koubek,3
2505,Mads Pedersen,3
2506,Carlos Gruezo,3
2507,Daniel Caligiuri,2
2508,Michael Gregoritsch,2
2509,Mark Flekken,fail
2510,Benjamin Uphoff,fail
2511,Noah Atubolu,fail
2512,Philipp Lienhart,3
2513,Nico Schlotterbeck,2
2514,Keven Schlotterbeck,1
2515,Dominique Heintz,1
2516,Manuel Gulde,fail
2517,Kiliann Sildillia,fail
2518,Kimberly Ezekwem,fail
2519,Christian Günter,fail
2520,Jonathan Schmid,fail
2521,Lukas Kübler,1
2522,Baptiste Santamaria,fail
2523,Nicolas Höfler,fail
2524,Yannik Keitel,3
2525,Janik Haberer,1
2526,Noah Weißhaupt,fail
2527,Vincenzo Grifo,fail
2528,Roland Sallai,fail
2529,Woo-yeong Jeong,2
2530,Kevin Schade,fail
2531,Ermedin Demirovic,3
2532,Lucas Höler,fail
2533,Nils Petersen,1
2534,Nishan Burkart,fail
2535,Benjamin Uphoff,fail
2536,Lukas Kübler,1
2537,Janik Haberer,1
2538,Roland Sallai,fail
2539,Florian Müller,4
2540,Fabian Bredlow,3
2541,Waldemar Anton,3
2542,Marc Oliver Kempf,1
2543,Konstantinos Mavropanos,1
2544,Pascal Stenzel,3
2545,Atakan Karazor,2
2546,Hiroki Ito,1
2547,Borna Sosa,4
2548,Orel Mangala,3
2549,Wataru Endo,3
2550,Naouirou Ahamada,4
2551,Clinton Mola,3
2552,Nikolas Nartey,2
2553,Enzo Millot,4
2554,Silas Katompa Mvumpa,3
2555,Roberto Massimo,2
2556,Erik Thommy,1
2557,Mateo Klimowicz,3
2558,Philipp Förster,2
2559,Daniel Didavi,1
2560,Philipp Klement,2
2561,Lilian Egloff,3
2562,Ömer Beyaz,4
2563,Tanguy Coulibaly,2
2564,Darko Churlinov,3
2565,Chris Führich,4
2566,Momo Cissé,4
2567,Sasa Kalajdzic,2
2568,Mohamed Sankoh,2
2569,Hamadi Al Ghaddioui,1
2570,Fabian Bredlow,3
2571,Pascal Stenzel,3
2572,Erik Thommy,1
2573,Philipp Klement,2
2574,Mohamed Sankoh,2
2575,Frederik Rönnow,3
2576,Andreas Luthe,fail
2577,Jakob Busk,1
2578,Marvin Friedrich,1
2579,Robin Knoche,fail
2580,Timo Baumgartl,1
2581,Rick van Drongelen,fail
2582,Paul Jaeckel,fail
2583,Mathis Bruns,fail
2584,Tymoteusz Puchacz,4
2585,Niko Gießelmann,fail
2586,Julian Ryerson,2
2587,Christopher Trimmel,fail
2588,Rani Khedira,fail
2589,Sebastian Griesbeck,1
2590,Robert Andrich,1
2591,Grischa Prömel,1
2592,Levin Öztunali,fail
2593,Fabio Schneider,1
2594,Marcus Ingvartsen,1
2595,Genki Haraguchi,fail
2596,Laurenz Dehl,1
2597,Keita Endo,1
2598,Sheraldo Becker,2
2599,Pawel Wszolek,fail
2600,Max Kruse,1
2601,Leon Dajaku,1
2602,Taiwo Awoniyi,fail
2603,Andreas Voglsammer,fail
2604,Cedric Teuchert,2
2605,Kevin Behrens,2
2606,Anthony Ujah,1
2607,Suleiman Abdullahi,1
2608,Frederik Rönnow,3
2609,Tymoteusz Puchacz,4
2610,Sebastian Griesbeck,1
2611,Kevin Behrens,2
2612,Andreas Voglsammer,fail
2613,Stefan Ortega,1
2614,Stefanos Kapino,2
2615,Arne Schulz,fail
2616,Amos Pieper,1
2617,Joakim Nilsson,1
2618,Mike van der Hoorn,2
2619,Guilherme Ramos,4
2620,Jacob Barrett Laursen,2
2621,Cédric Brunner,1
2622,Nathan de Medina,2
2623,Manuel Prietl,3
2624,Fabian Kunze,1
2625,Julian Frommann,fail
2626,Sebastian Vasiliadis,3
2627,Patrick Wimmer,4
2628,Masaya Okugawa,3
2629,Alessandro Schöpf,2
2630,Vladislav Cherny,3
2631,Robin Hack,4
2632,Christian Gebauer,2
2633,Florian Krüger,4
2634,Bryan Lasme,4
2635,Janni Serra,4
2636,Fabian Klos,1
2637,Stefanos Kapino,2
2638,Mike van der Hoorn,2
2639,Patrick Wimmer,4
2640,Christian Gebauer,2
2641,Janni Serra,4
2642,Gianluigi Donnarumma,5
2643,Keylor Navas,3
2644,Sergio Rico,3
2645,Alexandre Letellier,1
2646,Denis Franchi,2
2647,Marquinhos,3
2648,Presnel Kimpembe,3
2649,Abdou Diallo,3
2650,Thilo Kehrer,2
2651,Sergio Ramos,2
2652,El Chadaille Bitshiabu,3
2653,Juan Bernat,4
2654,Layvin Kurzawa,3
2655,Achraf Hakimi,5
2656,Colin Dagba,3
2657,Leandro Paredes,2
2658,Danilo Pereira,4
2659,Idrissa Gueye,2
2660,Marco Verratti,3
2661,Georginio Wijnaldum,3
2662,Rafinha,2
2663,Ander Herrera,3
2664,Junior Dina Ebimbe,2
2665,Xavi Simons,1
2666,Bandiougou Fadiga,1
2667,Edouard Michut,4
2668,Ismaël Gharbi,1
2669,Neymar,4
2670,Julian Draxler,3
2671,Lionel Messi,2
2672,Pablo Sarabia,3
2673,Ángel Di María,1
2674,Kylian Mbappé,1
2675,Mauro Icardi,3
2676,Arnaud Kalimuendo,3
2677,Sergio Rico,3
2678,Nathan Bitumazala,2
2679,Rafinha,2
2680,Edouard Michut,4
2681,Arnaud Kalimuendo,3
2682,Anthony Lopes,2
2683,Julian Pollersbeck,3
2684,Malcolm Barcola,1
2685,Kayne Bonnevie,1
2686,Jason Denayer,1
2687,Sinaly Diomandé,4
2688,Marcelo,2
2689,Damien Da Silva,2
2690,Castello Lukeba,3
2691,Maxwel Cornet,2
2692,Henrique,3
2693,Léo Dubois,3
2694,Malo Gusto,3
2695,Thiago Mendes,2
2696,Houssem Aouar,2
2697,Bruno Guimarães,3
2698,Maxence Caqueret,2
2699,Pape Cheikh,1
2700,Florent Da Silva,4
2701,Habib Keïta,4
2702,Lucas Paquetá,4
2703,Rayan Cherki,2
2704,Jeff Reine-Adélaïde,3
2705,Moussa Dembélé,2
2706,Karl Toko Ekambi,3
2707,Tino Kadewere,3
2708,Islam Slimani,1
2709,Lenny Pintor,2
2710,Malcolm Barcola,1
2711,Henrique,3
2712,Thiago Mendes,2
2713,Rayan Cherki,2
2714,Gaël Nsombi,2
2715,Benjamin Lecomte,3
2716,Alexander Nübel,2
2717,Radoslaw Majecki,3
2718,Vito Mannone,1
2719,Benoît Badiashile,3
2720,Axel Disasi,4
2721,Guillermo Maripán,3
2722,Strahinja Pavlovic,3
2723,Chrislain Matsima,4
2724,Jean Marcelin,3
2725,Caio Henrique,4
2726,Antonio Barreca,2
2727,Julien Serrano,1
2728,Ruben Aguilar,3
2729,Djibril Sidibé,1
2730,Aurélien Tchouaméni,3
2731,Pelé,2
2732,Youssouf Fofana,3
2733,Eliot Matazo,3
2734,Cesc Fàbregas,1
2735,Jean Lucas,5
2736,Ismail Jakobs,5
2737,Aleksandr Golovin,3
2738,Sofiane Diop,2
2739,Keita Baldé,1
2740,Willem Geubbels,2
2741,Valentin Decarpentrie,1
2742,Gelson Martins,3
2743,Krépin Diatta,4
2744,Anthony Musaba,4
2745,Wissam Ben Yedder,3
2746,Kevin Volland,3
2747,Myron Boadu,5
2748,Pietro Pellegri,1
2749,Wilson Isidor,2
2750,Radoslaw Majecki,3
2751,Caio Henrique,4
2752,Youssouf Fofana,3
2753,Aleksandr Golovin,3
2754,Wissam Ben Yedder,3
2755,Pau López,1
2756,Steve Mandanda,3
2757,Simon Ngapandouetnbu,1
2758,Manuel Nazaretian,3
2759,Duje Caleta-Car,2
2760,William Saliba,1
2761,Leonardo Balerdi,5
2762,Álvaro González,3
2763,Luan Peres,4
2764,Aaron Kamardin,2
2765,Joakim Kada,1
2766,Jordan Amavi,4
2767,Boubacar Kamara,1
2768,Pape Gueye,3
2769,Oussama Targhalline,2
2770,Paolo Sciortino,3
2771,Mattéo Guendouzi,1
2772,Gerson,5
2773,Valentin Rongier,3
2774,Ugo Bertelli,2
2775,Bilal Nadir,3
2776,Dimitri Payet,3
2777,Franco Tongya,4
2778,Luis Henrique,4
2779,Nemanja Radonjic,2
2780,Konrad de la Fuente,4
2781,Cengiz Ünder,1
2782,Salim Ben Seghir,3
2783,Arkadiusz Milik,1
2784,Darío Benedetto,2
2785,Bamba Dieng,fail
2786,Simon Ngapandouetnbu,1
2787,Álvaro González,3
2788,Valentin Rongier,3
2789,Nemanja Radonjic,2
2790,Bamba Dieng,fail
2791,Léo Jardim,3
2792,Adam Jakubech,4
2793,Orestis Karnezis,2
2794,Jules Raux,fail
2795,Sven Botman,4
2796,Tiago Djaló,3
2797,José Fonte,1
2798,Reinildo Mandava,1
2799,Domagoj Bradaric,3
2800,Zeki Celik,2
2801,Jérémy Pied,1
2802,Benjamin André,2
2803,Amadou Onana,5
2804,Jean Onana,4
2805,Cheikh Niasse,2
2806,Eugenio Pizzuto,4
2807,Renato Sanches,2
2808,Xeka,1
2809,Jonathan Bamba,2
2810,Yusuf Yazici,3
2811,Angel Gomes,4
2812,Isaac Lihadji,2
2813,Jonathan Ikoné,2
2814,Jonathan David,4
2815,Timothy Weah,3
2816,Burak Yilmaz,1
2817,Adam Jakubech,4
2818,Jérémy Pied,1
2819,Amadou Onana,5
2820,Angel Gomes,4
2821,Jonathan David,4
2822,Alfred Gomis,4
2823,Romain Salin,1
2824,Pépé Bonet,1
2825,Loïc Badé,5
2826,Nayef Aguerd,3
2827,Jérémy Gélin,1
2828,Gerzino Nyamsi,3
2829,Warmed Omari,3
2830,Adrien Truffert,4
2831,Faitout Maouassa,1
2832,Birger Meling,3
2833,Hamari Traoré,2
2834,Brandon Soppy,1
2835,Lorenz Assignon,4
2836,Eduardo Camavinga,1
2837,Benjamin Bourigeaud,2
2838,Flavien Tait,2
2839,James Léa Siliki,2
2840,Jonas Martin,1
2841,Lesley Ugochukwu,3
2842,Rafik Guitane,1
2843,Martin Terrier,4
2844,Kamaldeen Sulemana,5
2845,Jérémy Doku,4
2846,Romain Del Castillo,1
2847,Andy Diouf,3
2848,Serhou Guirassy,4
2849,M'Baye Niang,2
2850,Matthis Abline,3
2851,Metehan Güçlü,2
2852,Loum Tchaouna,3
2853,Mathys Tel,fail
2854,Warmed Omari,3
2855,Eduardo Camavinga,1
2856,Andy Diouf,3
2857,Serhou Guirassy,4
2858,Walter Benítez,2
2859,Marcin Bulka,1
2860,Teddy Boulhendi,fail
2861,Jean-Clair Todibo,5
2862,Flavius Daniliuc,3
2863,Robson Bambu,4
2864,Dante,1
2865,Hassane Kamara,3
2866,Melvin Bard,fail
2867,Youcef Atal,2
2868,Jordan Lotomba,4
2869,Mario Lemina,fail
2870,Khéphren Thuram,1
2871,Morgan Schneiderlin,fail
2872,Pablo Rosario,5
2873,Hicham Boudaoui,2
2874,Alexis Trouillet,3
2875,Alexis Claude-Maurice,3
2876,Pedro Brazão,1
2877,Ihsan Sacko,1
2878,Justin Kluivert,1
2879,Lucas Da Cunha,fail
2880,Deji Sotona,2
2881,Calvin Stengs,5
2882,Dan Ndoye,3
2883,Amine Gouiri,3
2884,Kasper Dolberg,3
2885,Myziane Maolida,2
2886,Evann Guessand,2
2887,Justin Smith,fail
2888,Flavius Daniliuc,3
2889,Jordan Lotomba,4
2890,Lucas Da Cunha,fail
2891,Myziane Maolida,2
2892,Benoît Costil,1
2893,Gaëtan Poussin,2
2894,Darren Lima Semedo,fail
2895,Davy Rouyard,4
2896,Tidiane Malbec,1
2897,Timothée Pembélé,1
2898,Laurent Koscielny,1
2899,Mexer,2
2900,Paul Baysse,3
2901,Abdel Medioub,1
2902,Loïc Bessile,1
2903,Malcom Bokele Mputu,1
2904,Loris Benito,1
2905,Gideon Mensah,1
2906,Ricardo Mangas,1
2907,Enock Kwateng,2
2908,Raoul Bellanova,1
2909,Otávio,1
2910,Toma Basic,1
2911,Rubén Pardo,1
2912,Tom Lacoux,3
2913,Issouf Sissokho,3
2914,Yacine Adli,2
2915,Samuel Kalu,2
2916,Rémi Oudin,3
2917,Mehdi Zerkane,3
2918,Amadou Traoré,1
2919,Josh Maja,2
2920,Ui-jo Hwang,2
2921,Jimmy Briand,1
2922,Sékou Mara,2
2923,Dilane Bakwa,1
2924,Gaëtan Poussin,2
2925,Timothée Pembélé,1
2926,Rubén Pardo,1
2927,Rémi Oudin,3
2928,Sékou Mara,2
2929,Matz Sels,3
2930,Bingourou Kamara,2
2931,Eiji Kawashima,2
2932,Alexandre Pierre,3
2933,Alaa Bellaarouch,fail
2934,Alexander Djiku,2
2935,Lucas Perrin,1
2936,Anthony Caci,1
2937,Karol Fila,4
2938,Marvin Senaya,3
2939,Ibrahima Sissoko,3
2940,Jean-Eudes Aholou,1
2941,Mahamé Siby,2
2942,Sanjin Prcic,1
2943,Dimitri Liénard,2
2944,Jean-Ricner Bellegarde,2
2945,Adrien Thomasson,3
2946,Aymeric Ahmed,fail
2947,Mehdi Chahiri,3
2948,Moïse Sahi Dion,4
2949,Ludovic Ajorque,3
2950,Habib Diallo,4
2951,Kévin Gameiro,2
2952,Majeed Waris,1
2953,Lebo Mothiba,2
2954,Eiji Kawashima,2
2955,Marvin Senaya,3
2956,Mahamé Siby,2
2957,Mehdi Chahiri,3
2958,Majeed Waris,1
2959,Alban Lafont,3
2960,Rémy Descamps,3
2961,Denis Petric,1
2962,Charly Jan,1
2963,Andrei Girotto,3
2964,Jean-Charles Castelletto,2
2965,Nicolas Pallois,1
2966,Molla Wagué,1
2967,Abdoulaye Sylla,fail
2968,Charles Traoré,2
2969,Sébastien Corchia,2
2970,Fábio,1
2971,Dennis Appiah,2
2972,Abdoulaye Touré,1
2973,Pedro Chirivella,2
2974,Wylan Cyprien,1
2975,Samuel Moutoussamy,3
2976,Ludovic Blas,3
2977,Roli Pereira de Sa,1
2978,Moses Simon,3
2979,Anthony Limbombe,2
2980,Marcus Coco,2
2981,Osman Bukari,1
2982,Abdoul Kader Bamba,3
2983,Gor Manvelyan,3
2984,Randal Kolo Muani,1
2985,Jean-Kévin Augustin,1
2986,Kalifa Coulibaly,1
2987,Renaud Emond,1
2988,Bridge Ndilu,3
2989,Quentin Merlin,3
2990,Rémy Descamps,3
2991,Charles Traoré,2
2992,Samuel Moutoussamy,3
2993,Osman Bukari,1
2994,Quentin Merlin,3
2995,Paul Bernardoni,3
2996,Danijel Petkovic,1
2997,Anthony Mandréa,1
2998,Romain Thomas,1
2999,Mateo Pavlovic,2
3000,Ismaël Traoré,1
3001,Kévin Boma,1
3002,Souleyman Doumbia,2
3003,Enzo Ebosse,2
3004,Abdoulaye Bamba,2
3005,Vincent Manceau,1
3006,Batista Mendy,3
3007,Zinédine Ould Khaled,1
3008,Angelo Fulgini,2
3009,Antonin Bobichon,2
3010,Thomas Mangani,1
3011,Azzedine Ounahi,4
3012,Walim Lgharbi,2
3013,Mathias Pereira Lage,1
3014,Pierrick Capelle,1
3015,Waniss Taïbi,1
3016,Sofiane Boufal,3
3017,Casimir Ninga,2
3018,Mohamed-Ali Cho,2
3019,Sada Thioub,2
3020,Jimmy Cabot,2
3021,Farid El Melali,2
3022,Noah Fatar,2
3023,Kevin Bemanga,2
