Player,Club,Age,Position,Nation,Value,Contract Years Left,League
João Moutinho,Wolverhampton Wanderers,34,midfield,Portugal,3600000.0,1,Premier League
Vitolo,Getafe CF,31,attack,Spain,3600000.0,1,La Liga
Silvan Widmer,1.FSV Mainz 05,28,Defender,Switzerland,3600000.0,3,Bundesliga
Jaime Mata,Getafe CF,32,attack,Spain,3600000.0,3,La Liga
Jan Thielmann,1. FC Köln,19,attack,Germany,3600000.0,3,Bundesliga
Lucas Höler,SC Freiburg,27,attack,Germany,3600000.0,fail,Bundesliga
Nicola Sansone,Bologna FC 1909,29,attack,Italy,3420000.0,2,Serie A
Lukasz Skorupski,Bologna FC 1909,30,Goalkeeper,Poland,3420000.0,2,Serie A
Nicolas Cozza,Montpellier HSC,22,Defender,France,3420000.0,1,Ligue 1
Francisco Montero,Atlético de Madrid,22,Defender,Spain,3330000.0,3,La Liga
Kevin Rüegg,Hellas Verona,23,Defender,Switzerland,3240000.0,4,Serie A
Jorge Meré,1. FC Köln,24,Defender,Spain,3150000.0,2,Bundesliga
Nicola Murru,UC Sampdoria,26,Defender,Italy,3150000.0,3,Serie A
Marcus Ingvartsen,1.FC Union Berlin,25,midfield,Denmark,3150000.0,1,Bundesliga
Stefano Denswil,Bologna FC 1909,28,Defender,Netherlands,3150000.0,1,Serie A
Trevoh Chalobah,Chelsea FC,22,Defender,England,3150000.0,2,Premier League
Edu Expósito,SD Eibar,25,midfield,Spain,3150000.0,3,La Liga
Junior Messias,FC Crotone,30,attack,Brazil,3150000.0,3,Serie A
Etienne Green,AS Saint-Étienne,21,Goalkeeper,France,3150000.0,3,Ligue 1
Denis Cheryshev,Valencia CF,30,attack,Russia,3150000.0,1,La Liga
Mathias Pereira Lage,SCO Angers,24,midfield,Portugal,3150000.0,1,Ligue 1
Sada Thioub,SCO Angers,26,attack,Senegal,3150000.0,2,Ligue 1
Sandro Ramírez,Getafe CF,26,attack,Spain,3150000.0,1,La Liga
Jean-Daniel Akpa Akpro,SS Lazio,28,midfield,Cote d'Ivoire,3150000.0,3,Serie A
Jean-Kevin Duverne,Stade Brestois 29,24,Defender,France,3150000.0,2,Ligue 1
Dimitri Foulquier,Granada CF,28,Defender,Guadeloupe,3150000.0,2,La Liga
Bosko Sutalo,Atalanta BC,21,Defender,Croatia,3150000.0,3,Serie A
Luigi Sepe,Parma Calcio 1913,30,Goalkeeper,Italy,3150000.0,3,Serie A
Enda Stevens,Sheffield United,31,Defender,Ireland,3150000.0,2,Premier League
Eric Maxim Choupo-Moting,Bayern Munich,32,attack,Cameroon,3150000.0,2,Bundesliga
Christophe Hérelle,Stade Brestois 29,28,Defender,Martinique,3150000.0,3,Ligue 1
Philipp Förster,VfB Stuttgart,26,midfield,Germany,3150000.0,2,Bundesliga
Mitchell Dijks,Bologna FC 1909,28,Defender,Netherlands,3150000.0,2,Serie A
Valon Berisha,Stade Reims,28,midfield,Kosovo,3150000.0,3,Ligue 1
Michael Hector,Fulham FC,29,Defender,Jamaica,3150000.0,1,Premier League
Ashley Barnes,Burnley FC,31,attack,England,3150000.0,1,Premier League
Ko Itakura,Manchester City,24,Defender,Japan,3150000.0,1,Premier League
Terence Kongolo,Fulham FC,27,Defender,Netherlands,3150000.0,3,Premier League
Tymoteusz Puchacz,1.FC Union Berlin,22,Defender,Poland,3150000.0,4,Bundesliga
Kelvin Amian,Spezia Calcio,23,Defender,France,3150000.0,4,Serie A
Karim Onisiwo,1.FSV Mainz 05,29,attack,Austria,3150000.0,3,Bundesliga
Robson Bambu,OGC Nice,23,Defender,Brazil,3150000.0,4,Ligue 1
Aymen Barkok,Eintracht Frankfurt,23,midfield,Morocco,3150000.0,1,Bundesliga
Wuilker Fariñez,RC Lens,23,Goalkeeper,Venezuela,3150000.0,3,Ligue 1
Aleksandr Kokorin,ACF Fiorentina,30,attack,Russia,3150000.0,3,Serie A
Salih Özcan,1. FC Köln,23,midfield,Germany,3150000.0,2,Bundesliga
Gastón Pereiro,Cagliari Calcio,26,midfield,Uruguay,3150000.0,3,Serie A
Marcos André,Real Valladolid CF,24,attack,Brazil,3150000.0,2,La Liga
Fabian Delph,Everton FC,31,midfield,England,3150000.0,1,Premier League
Pere Pons,Deportivo Alavés,28,midfield,Spain,3150000.0,1,La Liga
Conor Hourihane,Aston Villa,30,midfield,Ireland,3150000.0,1,Premier League
Florian Kainz,1. FC Köln,28,attack,Austria,3150000.0,1,Bundesliga
Lorenzo Montipò,Hellas Verona,25,Goalkeeper,Italy,3150000.0,1,Serie A
Vlad Chiriches,US Sassuolo,31,Defender,Romania,3150000.0,2,Serie A
Malick Thiaw,FC Schalke 04,20,Defender,Germany,3150000.0,3,Bundesliga
Arturo Vidal,Inter Milan,34,midfield,Chile,3150000.0,1,Serie A
Georginio Rutter,TSG 1899 Hoffenheim,19,attack,France,3150000.0,4,Bundesliga
Birger Meling,Stade Rennais FC,26,Defender,Norway,3150000.0,3,Ligue 1
Gerzino Nyamsi,Stade Rennais FC,24,Defender,France,3150000.0,3,Ligue 1
Jérémy Gélin,Stade Rennais FC,24,Defender,France,3150000.0,1,Ligue 1
Sargis Adamyan,TSG 1899 Hoffenheim,28,attack,Armenia,3150000.0,2,Bundesliga
Lucas Boyé,Elche CF,25,attack,Argentina,3150000.0,3,La Liga
Andrea Favilli,Genoa CFC,24,attack,Italy,3150000.0,2,Serie A
Patrick Herrmann,Borussia Mönchengladbach,30,attack,Germany,3150000.0,1,Bundesliga
Laurent Koscielny,FC Girondins Bordeaux,35,Defender,France,3150000.0,1,Ligue 1
Lucas Leiva,SS Lazio,34,midfield,Brazil,3150000.0,1,Serie A
Fabio Depaoli,UC Sampdoria,24,Defender,Italy,3150000.0,3,Serie A
Kévin Malcuit,SSC Napoli,30,Defender,France,3150000.0,1,Serie A
Vagner,FC Metz,25,attack,Cape Verde,3150000.0,3,Ligue 1
Steven Zuber,Eintracht Frankfurt,29,midfield,Switzerland,3150000.0,2,Bundesliga
Emil Krafth,Newcastle United,27,Defender,Sweden,3150000.0,2,Premier League
Lennart Czyborra,Genoa CFC,22,midfield,Germany,3150000.0,1,Serie A
Ivo Grbic,Atlético de Madrid,25,Goalkeeper,Croatia,3150000.0,3,La Liga
Mijat Gacinovic,TSG 1899 Hoffenheim,26,midfield,Serbia,3150000.0,3,Bundesliga
Youssef Maleh,ACF Fiorentina,22,midfield,Italy,3150000.0,3,Serie A
Lewis Baker,Chelsea FC,26,midfield,England,3150000.0,1,Premier League
Valerio Verre,UC Sampdoria,27,midfield,Italy,3150000.0,4,Serie A
Oihan Sancet,Athletic Bilbao,21,midfield,Spain,3150000.0,1,La Liga
Vladimir Darida,Hertha BSC,31,midfield,Czech Republic,3150000.0,2,Bundesliga
Kevin Agudelo,Genoa CFC,22,attack,Colombia,3150000.0,2,Serie A
Andrés Cubas,Nîmes Olympique,25,midfield,Paraguay,3150000.0,3,Ligue 1
Lamine Fomba,Nîmes Olympique,23,midfield,France,3150000.0,2,Ligue 1
Federico Ceccherini,Hellas Verona,29,Defender,Italy,3150000.0,fail,Serie A
Paolo Ghiglione,Genoa CFC,24,midfield,Italy,3060000.0,2,Serie A
Pedro Chirivella,FC Nantes,24,midfield,Spain,2880000.0,2,Ligue 1
Maya Yoshida,UC Sampdoria,32,Defender,Japan,2880000.0,1,Serie A
Gonzalo Escalante,SS Lazio,28,midfield,Argentina,2880000.0,3,Serie A
Enock Kwateng,FC Girondins Bordeaux,24,Defender,France,2880000.0,2,Ligue 1
Niclas Eliasson,Nîmes Olympique,25,midfield,Sweden,2700000.0,2,Ligue 1
Lamine Gueye,FC Metz,23,attack,Senegal,2700000.0,3,Ligue 1
Kaj Sierhuis,Stade Reims,23,attack,Netherlands,2700000.0,3,Ligue 1
Papa Ndiaga Yade,FC Metz,21,attack,Senegal,2700000.0,3,Ligue 1
Bersant Celina,Dijon FCO,24,midfield,Kosovo,2700000.0,3,Ligue 1
Robert Gumny,FC Augsburg,23,Defender,Poland,2700000.0,4,Bundesliga
Jean Manuel Mbom,SV Werder Bremen,21,midfield,Germany,2700000.0,2,Bundesliga
Simone Bastoni,Spezia Calcio,24,Defender,Italy,2700000.0,1,Serie A
Kevin Möhwald,SV Werder Bremen,28,midfield,Germany,2700000.0,1,Bundesliga
Dejan Ljubicic,1. FC Köln,23,midfield,Austria,2700000.0,4,Bundesliga
Martin Erlic,Spezia Calcio,23,Defender,Croatia,2700000.0,3,Serie A
Reece Oxford,FC Augsburg,22,Defender,England,2700000.0,2,Bundesliga
Brendan Chardonnet,Stade Brestois 29,26,Defender,France,2700000.0,2,Ligue 1
Michael Gregoritsch,FC Augsburg,27,attack,Austria,2700000.0,2,Bundesliga
Jonathan Gradit,RC Lens,28,Defender,France,2700000.0,3,Ligue 1
Jannes Horn,1. FC Köln,24,Defender,Germany,2700000.0,1,Bundesliga
Jóhann Berg Gudmundsson,Burnley FC,30,attack,Iceland,2700000.0,2,Premier League
Jonathan Schmid,SC Freiburg,31,Defender,France,2700000.0,fail,Bundesliga
Matt Clarke,West Bromwich Albion,24,Defender,England,2700000.0,1,Premier League
Paul Dummett,Newcastle United,29,Defender,Wales,2700000.0,1,Premier League
Danny Drinkwater,Chelsea FC,31,midfield,England,2700000.0,1,Premier League
Percy Tau,Brighton &amp; Hove Albion,27,attack,South Africa,2700000.0,1,Premier League
Federico Fernández,Newcastle United,32,Defender,Argentina,2700000.0,2,Premier League
Loris Benito,FC Girondins Bordeaux,29,Defender,Switzerland,2700000.0,1,Ligue 1
Ciaran Clark,Newcastle United,31,Defender,Ireland,2700000.0,2,Premier League
Karl Darlow,Newcastle United,30,Goalkeeper,England,2700000.0,4,Premier League
Lucas Da Cunha,OGC Nice,20,attack,France,2700000.0,fail,Ligue 1
Fraser Forster,Southampton FC,33,Goalkeeper,England,2700000.0,1,Premier League
Keinan Davis,Aston Villa,23,attack,England,2700000.0,3,Premier League
Salif Sané,FC Schalke 04,30,Defender,Senegal,2700000.0,1,Bundesliga
Jarrad Branthwaite,Everton FC,19,Defender,England,2700000.0,1,Premier League
Niels Nkounkou,Everton FC,20,Defender,France,2700000.0,2,Premier League
Ben Johnson,West Ham United,21,Defender,England,2700000.0,1,Premier League
Mark Uth,1. FC Köln,29,attack,Germany,2700000.0,2,Bundesliga
Craig Dawson,West Ham United,31,Defender,England,2700000.0,2,Premier League
Léo Jardim,LOSC Lille,26,Goalkeeper,Brazil,2700000.0,3,Ligue 1
Islam Slimani,Olympique Lyon,33,attack,Algeria,2700000.0,1,Ligue 1
Yan Valery,Southampton FC,22,Defender,France,2700000.0,2,Premier League
Armando Broja,Southampton FC,19,attack,Albania,2700000.0,1,Premier League
Michael Obafemi,Southampton FC,21,attack,Ireland,2700000.0,1,Premier League
Sebastian Rudy,TSG 1899 Hoffenheim,31,midfield,Germany,2700000.0,2,Bundesliga
Matt Ritchie,Newcastle United,31,Defender,Scotland,2700000.0,2,Premier League
Mitchell Weiser,Bayer 04 Leverkusen,27,Defender,Germany,2700000.0,2,Bundesliga
Kévin Gameiro,RC Strasbourg Alsace,34,attack,France,2700000.0,2,Ligue 1
Anthony Knockaert,Fulham FC,29,attack,France,2700000.0,2,Premier League
Dara O'Shea,West Bromwich Albion,22,Defender,Ireland,2700000.0,2,Premier League
Moreto Cassamá,Stade Reims,23,midfield,Guinea-Bissau,2700000.0,3,Ligue 1
Jae-sung Lee,1.FSV Mainz 05,29,midfield,"Korea, South",2700000.0,3,Bundesliga
Woo-yeong Jeong,SC Freiburg,21,attack,"Korea, South",2700000.0,2,Bundesliga
James Milner,Liverpool FC,35,midfield,England,2700000.0,1,Premier League
Sheyi Ojo,Liverpool FC,24,attack,England,2700000.0,2,Premier League
Nils Petersen,SC Freiburg,32,attack,Germany,2700000.0,1,Bundesliga
Arnaud Souquet,Montpellier HSC,29,Defender,France,2700000.0,2,Ligue 1
Max Lowe,Sheffield United,24,Defender,England,2700000.0,3,Premier League
Charles Abi,AS Saint-Étienne,21,attack,France,2700000.0,3,Ligue 1
João Victor,VfL Wolfsburg,27,attack,Brazil,2700000.0,2,Bundesliga
Javier Manquillo,Newcastle United,27,Defender,Spain,2700000.0,3,Premier League
Ansgar Knauff,Borussia Dortmund,19,attack,Germany,2700000.0,2,Bundesliga
Matej Vydra,Burnley FC,29,attack,Czech Republic,2700000.0,1,Premier League
Timo Baumgartl,1.FC Union Berlin,25,Defender,Germany,2700000.0,1,Bundesliga
Yvann Maçon,AS Saint-Étienne,22,Defender,France,2700000.0,3,Ligue 1
Sheraldo Becker,1.FC Union Berlin,26,attack,Suriname,2700000.0,2,Bundesliga
Matt Miazga,Chelsea FC,26,Defender,United States,2700000.0,1,Premier League
Robin Hack,Arminia Bielefeld,22,attack,Germany,2700000.0,4,Bundesliga
Nathaniel Clyne,Crystal Palace,30,Defender,England,2700000.0,1,Premier League
Paulo Gazzaniga,Fulham FC,29,Goalkeeper,Argentina,2700000.0,2,Premier League
Thiago Silva,Chelsea FC,36,Defender,Brazil,2700000.0,1,Premier League
Amadou Onana,LOSC Lille,20,midfield,Belgium,2700000.0,5,Ligue 1
Pierre-Yves Hamel,FC Lorient,27,attack,France,2700000.0,2,Ligue 1
Iván Marcone,Elche CF,31,midfield,Argentina,2700000.0,2,La Liga
Sergi Guardiola,Real Valladolid CF,30,attack,Spain,2700000.0,2,La Liga
Juan Brunetta,Parma Calcio 1913,24,midfield,Argentina,2700000.0,1,Serie A
Andriy Lunin,Real Madrid,22,Goalkeeper,Ukraine,2700000.0,3,La Liga
Lucas Pérez,Deportivo Alavés,32,attack,Spain,2700000.0,1,La Liga
Peru Nolaskoain,Athletic Bilbao,22,midfield,Spain,2700000.0,3,La Liga
Alberto Soro,Granada CF,22,attack,Spain,2700000.0,4,La Liga
Iñaki Peña,FC Barcelona,22,Goalkeeper,Spain,2700000.0,2,La Liga
Kike Barja,CA Osasuna,24,attack,Spain,2700000.0,2,La Liga
Fali,Cádiz CF,28,Defender,Spain,2700000.0,3,La Liga
Filippo Romagna,US Sassuolo,24,Defender,Italy,2700000.0,fail,Serie A
Robin Olsen,AS Roma,31,Goalkeeper,Sweden,2700000.0,2,Serie A
Karim Rekik,Sevilla FC,26,Defender,Netherlands,2700000.0,4,La Liga
Jaime Seoane,SD Huesca,24,midfield,Spain,2700000.0,1,La Liga
Carlos Clerc,Levante UD,29,Defender,Spain,2700000.0,1,La Liga
Simone Zaza,Torino FC,30,attack,Italy,2700000.0,2,Serie A
Vicente Iborra,Villarreal CF,33,midfield,Spain,2700000.0,3,La Liga
Robert Navarro,Real Sociedad,19,midfield,Spain,2700000.0,1,La Liga
Adrien Silva,UC Sampdoria,32,midfield,Portugal,2700000.0,1,Serie A
Andrea Consigli,US Sassuolo,34,Goalkeeper,Italy,2700000.0,1,Serie A
Albin Ekdal,UC Sampdoria,32,midfield,Sweden,2700000.0,1,Serie A
Luis Rioja,Deportivo Alavés,27,attack,Spain,2700000.0,2,La Liga
Marco Sala,US Sassuolo,22,midfield,Italy,2700000.0,2,Serie A
Lazar Samardzic,Udinese Calcio,19,midfield,Germany,2700000.0,5,Serie A
Modibo Sagnan,Real Sociedad,22,Defender,France,2700000.0,3,La Liga
Tolgay Arslan,Udinese Calcio,31,midfield,Germany,2700000.0,1,Serie A
Jean-Victor Makengo,Udinese Calcio,23,midfield,France,2700000.0,4,Serie A
Martín Aguirregabiria,Deportivo Alavés,25,Defender,Spain,2700000.0,1,La Liga
Mattia Bani,Genoa CFC,27,Defender,Italy,2700000.0,fail,Serie A
Jesús Navas,Sevilla FC,35,Defender,Spain,2700000.0,3,La Liga
Lorenzo Venuti,ACF Fiorentina,26,Defender,Italy,2700000.0,3,Serie A
Fer Niño,Villarreal CF,20,attack,Spain,2700000.0,3,La Liga
Julian Chabot,UC Sampdoria,23,Defender,Germany,2700000.0,3,Serie A
Aridane Hernández,CA Osasuna,32,Defender,Spain,2700000.0,2,La Liga
Radu Dragusin,Juventus FC,19,Defender,Romania,2700000.0,4,Serie A
Fede San Emeterio,Real Valladolid CF,24,midfield,Spain,2700000.0,2,La Liga
Faouzi Ghoulam,SSC Napoli,30,Defender,Algeria,2700000.0,1,Serie A
Dani García,Athletic Bilbao,31,midfield,Spain,2700000.0,1,La Liga
Roberto Piccoli,Atalanta BC,20,attack,Italy,2700000.0,fail,Serie A
Kike García,CA Osasuna,31,attack,Spain,2520000.0,3,La Liga
Burak Yilmaz,LOSC Lille,36,attack,Turkey,2520000.0,1,Ligue 1
Benoît Costil,FC Girondins Bordeaux,34,Goalkeeper,France,2520000.0,1,Ligue 1
Davie Selke,Hertha BSC,26,attack,Germany,2520000.0,2,Bundesliga
Óscar Plano,Real Valladolid CF,30,attack,Spain,2520000.0,2,La Liga
Jony,SS Lazio,30,attack,Spain,2520000.0,2,Serie A
Cédric Brunner,Arminia Bielefeld,27,Defender,Switzerland,2520000.0,1,Bundesliga
Kjell Scherpen,Brighton &amp; Hove Albion,21,Goalkeeper,Netherlands,2520000.0,fail,Premier League
Adam Reach,West Bromwich Albion,28,midfield,England,2520000.0,3,Premier League
Mert Cetin,Hellas Verona,24,Defender,Turkey,2520000.0,1,Serie A
Ishak Belfodil,TSG 1899 Hoffenheim,29,attack,Algeria,2520000.0,1,Bundesliga
Kevin Stöger,1.FSV Mainz 05,27,midfield,Austria,2520000.0,1,Bundesliga
Marcus Coco,FC Nantes,25,attack,France,2520000.0,2,Ligue 1
Filip Benkovic,Leicester City,24,Defender,Croatia,2520000.0,2,Premier League
Javi Sánchez,Real Valladolid CF,24,Defender,Spain,2520000.0,3,La Liga
Joaquín Fernández,Real Valladolid CF,25,Defender,Spain,2520000.0,2,La Liga
Erik Thommy,VfB Stuttgart,26,midfield,Germany,2250000.0,1,Bundesliga
Chris Führich,VfB Stuttgart,23,attack,Germany,2250000.0,4,Bundesliga
Melayro Bogarde,TSG 1899 Hoffenheim,19,Defender,Netherlands,2250000.0,3,Bundesliga
Riccardo Calafiori,AS Roma,19,Defender,Italy,2250000.0,4,Serie A
Frederik Rönnow,1.FC Union Berlin,29,Goalkeeper,Denmark,2250000.0,3,Bundesliga
Abdul Rahman Baba,Chelsea FC,27,Defender,Ghana,2250000.0,1,Premier League
Souleyman Doumbia,SCO Angers,24,Defender,Cote d'Ivoire,2250000.0,2,Ligue 1
Charalampos Lykogiannis,Cagliari Calcio,27,Defender,Greece,2250000.0,1,Serie A
Marcus Bettinelli,Chelsea FC,29,Goalkeeper,England,2250000.0,2,Premier League
Jean-Kévin Augustin,FC Nantes,24,attack,France,2250000.0,1,Ligue 1
Roberto Massimo,VfB Stuttgart,20,midfield,Germany,2250000.0,2,Bundesliga
Pascal Stenzel,VfB Stuttgart,25,Defender,Germany,2250000.0,3,Bundesliga
Alessandro Buongiorno,Torino FC,22,Defender,Italy,2250000.0,3,Serie A
Osman Bukari,FC Nantes,22,attack,Ghana,2250000.0,1,Ligue 1
Jake Livermore,West Bromwich Albion,31,midfield,England,2250000.0,1,Premier League
Jean-Charles Castelletto,FC Nantes,26,Defender,Cameroon,2250000.0,2,Ligue 1
Angelo Stiller,TSG 1899 Hoffenheim,20,midfield,Germany,2250000.0,4,Bundesliga
Diego Farias,Cagliari Calcio,31,attack,Brazil,2250000.0,1,Serie A
Emmanuel Gyasi,Spezia Calcio,27,attack,Ghana,2250000.0,2,Serie A
Kyle Bartley,West Bromwich Albion,30,Defender,England,2250000.0,2,Premier League
Sidnei,Real Betis Balompié,31,Defender,Brazil,2250000.0,1,La Liga
Rick van Drongelen,1.FC Union Berlin,22,Defender,Netherlands,2250000.0,fail,Bundesliga
Erick Cabaco,Getafe CF,26,Defender,Uruguay,2250000.0,3,La Liga
Matthew Lowton,Burnley FC,32,Defender,England,2250000.0,2,Premier League
Alfonso Espino,Cádiz CF,29,Defender,Uruguay,2250000.0,2,La Liga
Franco Tongya,Olympique Marseille,19,midfield,Italy,2250000.0,4,Ligue 1
Caoimhin Kelleher,Liverpool FC,22,Goalkeeper,Ireland,2250000.0,5,Premier League
Miguel Baeza,Celta de Vigo,21,midfield,Spain,2250000.0,4,La Liga
Raúl García,Athletic Bilbao,35,attack,Spain,2250000.0,1,La Liga
Jamie Shackleton,Leeds United,21,midfield,England,2250000.0,3,Premier League
Mehdi Zerkane,FC Girondins Bordeaux,22,attack,Algeria,2250000.0,3,Ligue 1
Samir Handanovic,Inter Milan,37,Goalkeeper,Slovenia,2250000.0,1,Serie A
Bruno Jordão,Wolverhampton Wanderers,22,midfield,Portugal,2250000.0,3,Premier League
Joel Pohjanpalo,Bayer 04 Leverkusen,26,attack,Finland,2250000.0,1,Bundesliga
Ryan Fredericks,West Ham United,28,Defender,England,2250000.0,1,Premier League
Pape Cheikh,Olympique Lyon,24,midfield,Senegal,2250000.0,1,Ligue 1
Angelo Ogbonna,West Ham United,33,Defender,Italy,2250000.0,1,Premier League
Dale Stephens,Burnley FC,32,midfield,England,2250000.0,1,Premier League
Masaya Okugawa,Arminia Bielefeld,25,midfield,Japan,2250000.0,3,Bundesliga
Josep Martínez,RB Leipzig,23,Goalkeeper,Spain,2250000.0,3,Bundesliga
Jonas Martin,Stade Rennais FC,31,midfield,France,2250000.0,1,Ligue 1
Rafik Guitane,Stade Rennais FC,22,midfield,France,2250000.0,1,Ligue 1
Joakim Nilsson,Arminia Bielefeld,27,Defender,Sweden,2250000.0,1,Bundesliga
Nicolas Höfler,SC Freiburg,31,midfield,Germany,2250000.0,fail,Bundesliga
Dimitrios Siovas,SD Huesca,32,Defender,Greece,2250000.0,1,La Liga
Pawel Wszolek,1.FC Union Berlin,29,attack,Poland,2250000.0,fail,Bundesliga
Genki Haraguchi,1.FC Union Berlin,30,midfield,Japan,2250000.0,fail,Bundesliga
Levin Öztunali,1.FC Union Berlin,25,midfield,Germany,2250000.0,fail,Bundesliga
Julian Ryerson,1.FC Union Berlin,23,Defender,Norway,2250000.0,2,Bundesliga
Felix Passlack,Borussia Dortmund,23,Defender,Germany,2250000.0,2,Bundesliga
Toni Villa,Real Valladolid CF,26,attack,Spain,2250000.0,2,La Liga
Roque Mesa,Real Valladolid CF,32,midfield,Spain,2250000.0,2,La Liga
Gideon Mensah,FC Girondins Bordeaux,23,Defender,Ghana,2250000.0,1,Ligue 1
Juanmi,Real Betis Balompié,28,attack,Spain,2250000.0,3,La Liga
Antonin Bobichon,SCO Angers,25,midfield,France,2250000.0,2,Ligue 1
Andi Zeqiri,Brighton &amp; Hove Albion,22,attack,Switzerland,2250000.0,3,Premier League
Joel Ward,Crystal Palace,31,Defender,England,2250000.0,2,Premier League
Didier Ndong,Dijon FCO,27,midfield,Gabon,2250000.0,2,Ligue 1
Anthony Briancon,Nîmes Olympique,26,Defender,France,2250000.0,1,Ligue 1
Yassine Benrahou,Nîmes Olympique,22,midfield,Morocco,2250000.0,2,Ligue 1
Simon Banza,RC Lens,25,attack,France,2250000.0,2,Ligue 1
Daniel Bessa,Hellas Verona,28,midfield,Italy,2250000.0,1,Serie A
Florian Sotoca,RC Lens,30,attack,France,2250000.0,2,Ligue 1
Yunis Abdelhamid,Stade Reims,33,Defender,Morocco,2250000.0,1,Ligue 1
Mattia Destro,Genoa CFC,30,attack,Italy,2250000.0,1,Serie A
Marshall Munetsi,Stade Reims,25,midfield,Zimbabwe,2250000.0,3,Ligue 1
Salvatore Sirigu,Genoa CFC,34,Goalkeeper,Italy,2250000.0,1,Serie A
Alberto Moreno,Villarreal CF,29,Defender,Spain,2250000.0,3,La Liga
Erik Durm,Eintracht Frankfurt,29,Defender,Germany,2250000.0,2,Bundesliga
Mamadou Loum,Deportivo Alavés,24,midfield,Senegal,2250000.0,1,La Liga
Raúl Albiol,Villarreal CF,35,Defender,Spain,2250000.0,1,La Liga
Danilo Cataldi,SS Lazio,27,midfield,Italy,2250000.0,3,Serie A
Toni Lato,Valencia CF,23,Defender,Spain,2250000.0,2,La Liga
Antonio Candreva,UC Sampdoria,34,midfield,Italy,2250000.0,3,Serie A
Ömer Toprak,SV Werder Bremen,32,Defender,Turkey,2250000.0,2,Bundesliga
Moussa Konaté,Dijon FCO,28,attack,Senegal,2250000.0,2,Ligue 1
Roger Assalé,Dijon FCO,27,attack,Cote d'Ivoire,2250000.0,3,Ligue 1
Esteban Burgos,SD Eibar,29,Defender,Argentina,2250000.0,1,La Liga
Lilian Brassier,Stade Brestois 29,21,Defender,France,2250000.0,fail,Ligue 1
Kévin N'Doram,FC Metz,25,midfield,France,2250000.0,3,Ligue 1
Jere Uronen,Stade Brestois 29,27,Defender,Finland,2250000.0,3,Ligue 1
Massadio Haidara,RC Lens,28,Defender,Mali,2250000.0,2,Ligue 1
Haris Belkebla,Stade Brestois 29,27,midfield,Algeria,2250000.0,2,Ligue 1
Luca Ranieri,ACF Fiorentina,22,Defender,Italy,2250000.0,3,Serie A
Alexandre Oukidja,FC Metz,33,Goalkeeper,Algeria,2250000.0,2,Ligue 1
Felix Agu,SV Werder Bremen,21,Defender,Germany,2250000.0,3,Bundesliga
Nemanja Radoja,Levante UD,28,midfield,Serbia,2250000.0,1,La Liga
Matthieu Udol,FC Metz,25,Defender,France,2250000.0,3,Ligue 1
Maxime Gonalons,Granada CF,32,midfield,France,2250000.0,2,La Liga
Mihailo Ristic,Montpellier HSC,25,midfield,Serbia,2250000.0,1,Ligue 1
Can Bozdogan,FC Schalke 04,20,midfield,Germany,2250000.0,3,Bundesliga
Laurent Abergel,FC Lorient,28,midfield,France,2250000.0,4,Ligue 1
Ivan Provedel,Spezia Calcio,27,Goalkeeper,Italy,2250000.0,1,Serie A
Jason,Valencia CF,27,attack,Spain,2250000.0,1,La Liga
Stéphane Diarra,FC Lorient,22,attack,Cote d'Ivoire,2250000.0,4,Ligue 1
Rachid Alioui,SCO Angers,29,attack,Morocco,2250000.0,1,Ligue 1
Quentin Boisgard,FC Lorient,24,midfield,France,2250000.0,2,Ligue 1
Saïdou Sow,AS Saint-Étienne,19,Defender,Guinea,2250000.0,3,Ligue 1
Rodrigo Zalazar,FC Schalke 04,22,midfield,Uruguay,2250000.0,1,Bundesliga
James Tomkins,Crystal Palace,32,Defender,England,2250000.0,1,Premier League
Davide Biraschi,Genoa CFC,27,Defender,Italy,2250000.0,3,Serie A
Mark Flekken,SC Freiburg,28,Goalkeeper,Netherlands,2250000.0,fail,Bundesliga
Álex Baena,Villarreal CF,20,attack,Spain,2250000.0,4,La Liga
Pepelu,Levante UD,23,midfield,Spain,2250000.0,1,La Liga
Anton Stach,1.FSV Mainz 05,22,midfield,Germany,2250000.0,3,Bundesliga
Maxence Rivera,AS Saint-Étienne,19,attack,France,2250000.0,3,Ligue 1
Julien Laporte,FC Lorient,27,Defender,France,2250000.0,2,Ligue 1
Gianluca Frabotta,Hellas Verona,22,Defender,Italy,2250000.0,1,Serie A
André Hahn,FC Augsburg,31,attack,Germany,2250000.0,1,Bundesliga
Rubén Pardo,FC Girondins Bordeaux,28,midfield,Spain,2160000.0,1,Ligue 1
Manuel Gulde,SC Freiburg,30,Defender,Germany,2160000.0,fail,Bundesliga
Mehdi Bourabia,US Sassuolo,30,midfield,Morocco,2070000.0,fail,Serie A
Adrián Bernabé,Parma Calcio 1913,20,midfield,Spain,2070000.0,3,Serie A
Dimitrios Nikolaou,Spezia Calcio,23,Defender,Greece,2070000.0,5,Serie A
Adrian Semper,Genoa CFC,23,Goalkeeper,Croatia,2070000.0,4,Serie A
Stefan Mitrovic,Getafe CF,31,Defender,Serbia,1980000.0,3,La Liga
Sikou Niakaté,FC Metz,22,Defender,France,1980000.0,1,Ligue 1
Edgar Méndez,Deportivo Alavés,31,attack,Spain,1980000.0,1,La Liga
Lucas Torró,CA Osasuna,27,midfield,Spain,1980000.0,3,La Liga
Ambroise Oyongo,Montpellier HSC,30,Defender,Cameroon,1980000.0,1,Ligue 1
